group,strain,assembly_uid,assembly_accession,organism,taxid,ftp_path,md5
Enterics,Y. pestis CO92,30608,GCF_000009065.1,Yersinia pestis CO92 (enterobacteria),214092,genomes/all/GCF/000/009/065/GCF_000009065.1_ASM906v1/GCF_000009065.1_ASM906v1_genomic.fna.gz,0c0fa06aa44645927cb38f3be75fe46a
Enterics,Y. pestis Mediaevails,5025231,GCF_009295985.1,Yersinia pestis subsp. pestis bv. Medievalis (enterobacteria),1234662,genomes/all/GCF/009/295/985/GCF_009295985.1_ASM929598v1/GCF_009295985.1_ASM929598v1_genomic.fna.gz,fc1447428938bdae6bbc4f7589041686
Enterics,Y. enterocolitica,329781,GCF_000987925.1,Yersinia enterocolitica (enterobacteria),630,genomes/all/GCF/000/987/925/GCF_000987925.1_ASM98792v1/GCF_000987925.1_ASM98792v1_genomic.fna.gz,56cd2374ef12fdfff76114a5b827abde
Enterics,E. carotovora,7392621,GCF_013488025.1,Pectobacterium carotovorum (enterobacteria),554,genomes/all/GCF/013/488/025/GCF_013488025.1_ASM1348802v1/GCF_013488025.1_ASM1348802v1_genomic.fna.gz,a8ab32347022588318aae5cc5ef1808b
Pseudomonas,P putida KT2440,654861,GCF_000007565.2,Pseudomonas putida KT2440 (g-proteobacteria),160488,genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2/GCF_000007565.2_ASM756v2_genomic.fna.gz,571695cfb0fcd3e8c3c364522cfa7588
Pseudomonas,P aeruginosa PA01,28348,GCF_000006765.1,Pseudomonas aeruginosa PAO1 (g-proteobacteria),208964,genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1/GCF_000006765.1_ASM676v1_genomic.fna.gz,c859ec5a25506367506bce972788aca8
Pseudomonas,P syringae DC3000,29388,GCF_000007805.1,Pseudomonas syringae pv. tomato str. DC3000 (g-proteobacteria),223283,genomes/all/GCF/000/007/805/GCF_000007805.1_ASM780v1/GCF_000007805.1_ASM780v1_genomic.fna.gz,4298e9e3ccd4ac2818d84fb80e356b50
Neisseria,N. meningitidis MC58,30388,GCF_000008805.1,Neisseria meningitidis MC58 (b-proteobacteria),122586,genomes/all/GCF/000/008/805/GCF_000008805.1_ASM880v1/GCF_000008805.1_ASM880v1_genomic.fna.gz,287e55cbffed6f2874c691ad6717019a
Neisseria,N. meningitidis FAM,31008,GCF_000009465.1,Neisseria meningitidis FAM18 (b-proteobacteria),272831,genomes/all/GCF/000/009/465/GCF_000009465.1_ASM946v1/GCF_000009465.1_ASM946v1_genomic.fna.gz,aa6a1e73360df22c453cbf0e74c41630
Neisseria,N. meningitidis Z2491,30648,GCF_000009105.1,Neisseria meningitidis Z2491 (b-proteobacteria),122587,genomes/all/GCF/000/009/105/GCF_000009105.1_ASM910v1/GCF_000009105.1_ASM910v1_genomic.fna.gz,071f892fd823a21515ed16cbfe05040d
Neisseria,N. gonorrhoeae FA1090,28428,GCF_000006845.1,Neisseria gonorrhoeae FA 1090 (b-proteobacteria),242231,genomes/all/GCF/000/006/845/GCF_000006845.1_ASM684v1/GCF_000006845.1_ASM684v1_genomic.fna.gz,3c9657f163b4c976e893353f31897738
Bordetella,B pertussis Tohama I,264178,GCF_000195715.1,Bordetella pertussis Tohama I (b-proteobacteria),257313,genomes/all/GCF/000/195/715/GCF_000195715.1_ASM19571v1/GCF_000195715.1_ASM19571v1_genomic.fna.gz,d4761c150f054d6b39a9742d0df3c2be
Bordetella,B. bronchiceptica RB50,264138,GCF_000195675.1,Bordetella bronchiseptica RB50 (b-proteobacteria),257310,genomes/all/GCF/000/195/675/GCF_000195675.1_ASM19567v1/GCF_000195675.1_ASM19567v1_genomic.fna.gz,46c6af42d2df1250a219b40f2d1c7687
Bordetella,B. parapertussis,504818,GCF_000317935.1,Bordetella parapertussis Bpp5 (b-proteobacteria),1208660,genomes/all/GCF/000/317/935/GCF_000317935.1_ASM31793v1/GCF_000317935.1_ASM31793v1_genomic.fna.gz,e4d6cd1aaf43157a097df337d70d2ca8
Bacilli,B cereus ATCC 14579,3320791,GCF_006094295.1,Bacillus cereus ATCC 14579 (firmicutes),226900,genomes/all/GCF/006/094/295/GCF_006094295.1_ASM609429v1/GCF_006094295.1_ASM609429v1_genomic.fna.gz,dfc314ee2ed7a8e01d1b3200aefb0c1c
Bacilli,B cereus 10987,29588,GCF_000008005.1,Bacillus cereus ATCC 10987 (firmicutes),222523,genomes/all/GCF/000/008/005/GCF_000008005.1_ASM800v1/GCF_000008005.1_ASM800v1_genomic.fna.gz,e35dfda28bf1a7cbb890514b2b5a516b
Bacilli,B anthracis Ames,30028,GCF_000008445.1,Bacillus anthracis str. 'Ames Ancestor' (firmicutes),261594,genomes/all/GCF/000/008/445/GCF_000008445.1_ASM844v1/GCF_000008445.1_ASM844v1_genomic.fna.gz,68abd5ef8cfe3c3b56f7b4f1ba627aa5
Bacilli,B cereus ZK,250401,GCF_000833045.1,Bacillus cereus E33L (firmicutes),288681,genomes/all/GCF/000/833/045/GCF_000833045.1_ASM83304v1/GCF_000833045.1_ASM83304v1_genomic.fna.gz,d4ee686be506692c36ad612004259452
Mycobacteria,M. tuberculosis CDC1551,30168,GCF_000008585.1,Mycobacterium tuberculosis CDC1551 (high GC Gram+),83331,genomes/all/GCF/000/008/585/GCF_000008585.1_ASM858v1/GCF_000008585.1_ASM858v1_genomic.fna.gz,8b61bd474abff28f92b5c2b181430c29
Mycobacteria,M. tuberculosis h37Rv,538048,GCF_000195955.2,Mycobacterium tuberculosis H37Rv (high GC Gram+),83332,genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2/GCF_000195955.2_ASM19595v2_genomic.fna.gz,f93726a0a6e57af2bf1173998fbeb546
Mycobacteria,M. bovis,2757601,GCF_005156105.1,Mycobacterium tuberculosis variant bovis (high GC Gram+),1765,genomes/all/GCF/005/156/105/GCF_005156105.1_ASM515610v1/GCF_005156105.1_ASM515610v1_genomic.fna.gz,d7377a56f154a7b93010bfbc1dc7a942
Mycobacteria,M. avium,2014161,GCF_003640565.1,Mycobacterium avium (high GC Gram+),1764,genomes/all/GCF/003/640/565/GCF_003640565.1_ASM364056v1/GCF_003640565.1_ASM364056v1_genomic.fna.gz,5d17c81f2662e7e763ece11f52a8f30b
Streptococci,S. pyogenes SSI-1,32448,GCF_000011285.1,Streptococcus pyogenes SSI-1 (firmicutes),193567,genomes/all/GCF/000/011/285/GCF_000011285.1_ASM1128v1/GCF_000011285.1_ASM1128v1_genomic.fna.gz,9cc591194f61f1fd003f6414bc4e616f
Streptococci,S. pyogenes MGAS8232,28868,GCF_000007285.1,Streptococcus pyogenes MGAS8232 (firmicutes),186103,genomes/all/GCF/000/007/285/GCF_000007285.1_ASM728v1/GCF_000007285.1_ASM728v1_genomic.fna.gz,50089c2f3a7845d471a571c21b5d7f01
Streptococci,S. pyogenes MGAS315,29008,GCF_000007425.1,Streptococcus pyogenes MGAS315 (firmicutes),198466,genomes/all/GCF/000/007/425/GCF_000007425.1_ASM742v1/GCF_000007425.1_ASM742v1_genomic.fna.gz,f112b77d6ded842e93242fc6cf351db9
Streptococci,S. pyogenes M1 GAS,40851,GCF_000349925.2,Streptococcus pyogenes M1 476 (firmicutes),1207470,genomes/all/GCF/000/349/925/GCF_000349925.2_ASM34992v2/GCF_000349925.2_ASM34992v2_genomic.fna.gz,a3102bba41a017d6215fef9a2e729536
Streptococci,S. agalactiae 2603,28848,GCF_000007265.1,Streptococcus agalactiae 2603V/R (firmicutes),208435,genomes/all/GCF/000/007/265/GCF_000007265.1_ASM726v1/GCF_000007265.1_ASM726v1_genomic.fna.gz,5d3dd7ab74315015e6cff580e2808530
Streptococci,S. agalactiae NEM,264518,GCF_000196055.1,Streptococcus agalactiae NEM316 (firmicutes),211110,genomes/all/GCF/000/196/055/GCF_000196055.1_ASM19605v1/GCF_000196055.1_ASM19605v1_genomic.fna.gz,5c3233f4fef1bd00b7e5cda18dd47451
Streptococci,S. pneumoniae r6,28628,GCF_000007045.1,Streptococcus pneumoniae R6 (firmicutes),171101,genomes/all/GCF/000/007/045/GCF_000007045.1_ASM704v1/GCF_000007045.1_ASM704v1_genomic.fna.gz,2e1ab6cfe6a5f67259359c9749e9fb8d
Streptococci,S. pneumoniae TIGR4,28468,GCF_000006885.1,Streptococcus pneumoniae TIGR4 (firmicutes),170187,genomes/all/GCF/000/006/885/GCF_000006885.1_ASM688v1/GCF_000006885.1_ASM688v1_genomic.fna.gz,0c8e580789626aeb2e0d62d1bb6ddf28
Streptococci,S. mutans,5382671,GCF_009738105.1,Streptococcus mutans (firmicutes),1309,genomes/all/GCF/009/738/105/GCF_009738105.1_ASM973810v1/GCF_009738105.1_ASM973810v1_genomic.fna.gz,2f3351e54a14380d318550dec43e5af9
Staphylococci,S aureus Mu50,31168,GCF_000009665.1,Staphylococcus aureus subsp. aureus Mu50 (firmicutes),158878,genomes/all/GCF/000/009/665/GCF_000009665.1_ASM966v1/GCF_000009665.1_ASM966v1_genomic.fna.gz,2d869cfaae71eedb63c0303d09862e0e
Staphylococci,S aureus N315,31148,GCF_000009645.1,Staphylococcus aureus subsp. aureus N315 (firmicutes),158879,genomes/all/GCF/000/009/645/GCF_000009645.1_ASM964v1/GCF_000009645.1_ASM964v1_genomic.fna.gz,01cdf49cb7a190e72079857451d62370
Staphylococci,S aureus MW2,32428,GCF_000011265.1,Staphylococcus aureus subsp. aureus MW2 (firmicutes),196620,genomes/all/GCF/000/011/265/GCF_000011265.1_ASM1126v1/GCF_000011265.1_ASM1126v1_genomic.fna.gz,46b07d1c55ba79155200986fb498b0a8
Staphylococci,S aureus MSSR252,32628,GCF_000011505.1,Staphylococcus aureus subsp. aureus MRSA252 (firmicutes),282458,genomes/all/GCF/000/011/505/GCF_000011505.1_ASM1150v1/GCF_000011505.1_ASM1150v1_genomic.fna.gz,1f0068090949cbf75f5c6cdc2d3cf5ac
Staphylococci,S aureus MRSA476,32648,GCF_000011525.1,Staphylococcus aureus subsp. aureus MSSA476 (firmicutes),282459,genomes/all/GCF/000/011/525/GCF_000011525.1_ASM1152v1/GCF_000011525.1_ASM1152v1_genomic.fna.gz,6b7f2e75a974c72c6faca4d34c18ff2e
Staphylococci,S. epidermitidis ATCC12228,5460951,GCF_009873455.1,Staphylococcus epidermidis (firmicutes),1282,genomes/all/GCF/009/873/455/GCF_009873455.1_ASM987345v1/GCF_009873455.1_ASM987345v1_genomic.fna.gz,f382957e79882c03db314253bde140a8
Staphylococci,S. epidermitidis RP62A,33028,GCF_000011925.1,Staphylococcus epidermidis RP62A (firmicutes),176279,genomes/all/GCF/000/011/925/GCF_000011925.1_ASM1192v1/GCF_000011925.1_ASM1192v1_genomic.fna.gz,53c4ba0d899f9e24bd1e6194e9b160c1
Others,X. campestris ATCC33913,28728,GCF_000007145.1,Xanthomonas campestris pv. campestris str. ATCC 33913 (g-proteobacteria),190485,genomes/all/GCF/000/007/145/GCF_000007145.1_ASM714v1/GCF_000007145.1_ASM714v1_genomic.fna.gz,4468ff883d234bf1f2c5077fba928e02
Others,X. axonopodis pv. Citri 301,565898,GCF_000348585.1,Xanthomonas axonopodis Xac29-1 (g-proteobacteria),1304892,genomes/all/GCF/000/348/585/GCF_000348585.1_ASM34858v1/GCF_000348585.1_ASM34858v1_genomic.fna.gz,7432dd3b84e1e135977ea389992a2b3c
Others,X. fastidiosa temecula,28828,GCF_000007245.1,Xylella fastidiosa Temecula1 (g-proteobacteria),183190,genomes/all/GCF/000/007/245/GCF_000007245.1_ASM724v1/GCF_000007245.1_ASM724v1_genomic.fna.gz,28827c07c9ba34480bbeafeea43f47c0
Others,X. fastidiosa 9a5c,28308,GCF_000006725.1,Xylella fastidiosa 9a5c (g-proteobacteria),160492,genomes/all/GCF/000/006/725/GCF_000006725.1_ASM672v1/GCF_000006725.1_ASM672v1_genomic.fna.gz,ecc337a56730ae1925ddb5751b8bbe3c
Others,Vibrio vulnificus CMCP6,288888,GCF_000039765.1,Vibrio vulnificus CMCP6 (g-proteobacteria),216895,genomes/all/GCF/000/039/765/GCF_000039765.1_ASM3976v1/GCF_000039765.1_ASM3976v1_genomic.fna.gz,6287c41dba59f0a6f7ef6dfd7b98ec1e
Others,Vibrio vulnificus YJ016,31248,GCF_000009745.1,Vibrio vulnificus YJ016 (g-proteobacteria),196600,genomes/all/GCF/000/009/745/GCF_000009745.1_ASM974v1/GCF_000009745.1_ASM974v1_genomic.fna.gz,d6b562e62b199e1a36405b30cd84431a
Others,H. pylori J99,327011,GCF_000982695.1,Helicobacter pylori J99 (e-proteobacteria),85963,genomes/all/GCF/000/982/695/GCF_000982695.1_ASM98269v1/GCF_000982695.1_ASM98269v1_genomic.fna.gz,965faa5faf5686c9a0d5824a88f4f66c
Others,H. pylori 26695,449778,GCF_000307795.1,Helicobacter pylori 26695 (e-proteobacteria),85962,genomes/all/GCF/000/307/795/GCF_000307795.1_ASM30779v1/GCF_000307795.1_ASM30779v1_genomic.fna.gz,cf929d66889f3f78b04785958cb37a4f
Others,B. melitensis 16M,28708,GCF_000007125.1,Brucella melitensis bv. 1 str. 16M (a-proteobacteria),224914,genomes/all/GCF/000/007/125/GCF_000007125.1_ASM712v1/GCF_000007125.1_ASM712v1_genomic.fna.gz,8452be340430adf32cc0b81ad30b4121
Others,B suis 1330,29088,GCF_000007505.1,Brucella suis 1330 (a-proteobacteria),204722,genomes/all/GCF/000/007/505/GCF_000007505.1_ASM750v1/GCF_000007505.1_ASM750v1_genomic.fna.gz,3c655e0729d835ebbebb9f82ff7f0dac
Others,R. conorri,28608,GCF_000007025.1,Rickettsia conorii str. Malish 7 (a-proteobacteria),272944,genomes/all/GCF/000/007/025/GCF_000007025.1_ASM702v1/GCF_000007025.1_ASM702v1_genomic.fna.gz,0fd3d634233341280a3298b652acf533
Others,R. prowazekii,398428,GCF_000277165.1,Rickettsia prowazekii str. Chernikova (a-proteobacteria),1105094,genomes/all/GCF/000/277/165/GCF_000277165.1_ASM27716v1/GCF_000277165.1_ASM27716v1_genomic.fna.gz,c7e6937ce8cfaa7855b1610790716733
Others,C perfrigens 13,31188,GCF_000009685.1,Clostridium perfringens str. 13 (firmicutes),195102,genomes/all/GCF/000/009/685/GCF_000009685.1_ASM968v1/GCF_000009685.1_ASM968v1_genomic.fna.gz,9e5ce56e2f081928d994e7cef0ed0b22
Others,C perfrigens ATCC13124,34388,GCF_000013285.1,Clostridium perfringens ATCC 13124 (firmicutes),195103,genomes/all/GCF/000/013/285/GCF_000013285.1_ASM1328v1/GCF_000013285.1_ASM1328v1_genomic.fna.gz,fee00766ac70ccbe89a42b4a9d70673f
Others,T. whipplei twist,29068,GCF_000007485.1,Tropheryma whipplei str. Twist (high GC Gram+),203267,genomes/all/GCF/000/007/485/GCF_000007485.1_ASM748v1/GCF_000007485.1_ASM748v1_genomic.fna.gz,708ee13c5ea436539b3c6405143774dc
Others,T. whipplei TW08/27,264538,GCF_000196075.1,Tropheryma whipplei TW08/27 (high GC Gram+),218496,genomes/all/GCF/000/196/075/GCF_000196075.1_ASM19607v1/GCF_000196075.1_ASM19607v1_genomic.fna.gz,39290128404e171849ce028d08165b39
Others,B. pseudomallei,211501,GCF_000756125.1,Burkholderia pseudomallei (b-proteobacteria),28450,genomes/all/GCF/000/756/125/GCF_000756125.1_ASM75612v1/GCF_000756125.1_ASM75612v1_genomic.fna.gz,30985fd42936fd657b2676a85370da99
Others,B. mallei,1221401,GCF_002346025.1,Burkholderia mallei (b-proteobacteria),13373,genomes/all/GCF/002/346/025/GCF_002346025.1_ASM234602v1/GCF_002346025.1_ASM234602v1_genomic.fna.gz,1d07440ebccf991ffa6215b5dfc26df8
Others,L.pneumophila Philadelphia,808961,GCF_001752745.1,Legionella pneumophila (g-proteobacteria),446,genomes/all/GCF/001/752/745/GCF_001752745.1_ASM175274v1/GCF_001752745.1_ASM175274v1_genomic.fna.gz,e7a2a23b825eaea96a08f32784e8b904
Others,L.pneumophila Paris,67228,GCF_000048645.1,Legionella pneumophila str. Paris (g-proteobacteria),297246,genomes/all/GCF/000/048/645/GCF_000048645.1_ASM4864v1/GCF_000048645.1_ASM4864v1_genomic.fna.gz,70e46b50b7357aaf4107e13559eb0291
Others,L.pneumophila Lens,67248,GCF_000048665.1,Legionella pneumophila str. Lens (g-proteobacteria),297245,genomes/all/GCF/000/048/665/GCF_000048665.1_ASM4866v1/GCF_000048665.1_ASM4866v1_genomic.fna.gz,e138f74c368434966d55b49b43b9c1fd
